A,EstadoA,B,EstadoB
ANDRADINA,SP,ILHA SOLTEIRA,SP
ANDRADINA,SP,ITAPURA,SP
ANDRADINA,SP,MIRANDÓPOLIS,SP
ANDRADINA,SP,MURUTINGA DO SUL,SP
ANDRADINA,SP,NOVA INDEPENDÊNCIA,SP
ANDRADINA,SP,PEREIRA BARRETO,SP
ANGATUBA,SP,BOFETE,SP
ANGATUBA,SP,BURI,SP
ANGATUBA,SP,CAMPINA DO MONTE ALEGRE,SP
ANGATUBA,SP,GUAREÍ,SP
ANGATUBA,SP,ITAPETININGA,SP
ANGATUBA,SP,ITATINGA,SP
ANGATUBA,SP,PARANAPANEMA,SP
ANHEMBI,SP,BOFETE,SP
ANHEMBI,SP,BOTUCATU,SP
ANHEMBI,SP,CONCHAS,SP
ANHEMBI,SP,PIRACICABA,SP
ANHEMBI,SP,SANTA MARIA DA SERRA,SP
ANHUMAS,SP,NARANDIBA,SP
ANHUMAS,SP,PIRAPOZINHO,SP
ANHUMAS,SP,PRESIDENTE PRUDENTE,SP
ANHUMAS,SP,REGENTE FEIJÓ,SP
ANHUMAS,SP,TACIBA,SP
APARECIDA,SP,GUARATINGUETÁ,SP
APARECIDA,SP,LAGOINHA,SP
APARECIDA,SP,POTIM,SP
APARECIDA,SP,ROSEIRA,SP
APARECIDA D'OESTE,SP,MARINÓPOLIS,SP
APARECIDA D'OESTE,SP,NOVA CANAÃ PAULISTA,SP
APARECIDA D'OESTE,SP,PALMEIRA D'OESTE,SP
APARECIDA D'OESTE,SP,RUBINÉIA,SP
APARECIDA D'OESTE,SP,SANTA FÉ DO SUL,SP
APARECIDA D'OESTE,SP,SUD MENNUCCI,SP
APARECIDA D'OESTE,SP,SUZANÁPOLIS,SP
APIAÍ,SP,BARRA DO CHAPÉU,SP
APIAÍ,SP,BOM SUCESSO DE ITARARÉ,SP
APIAÍ,SP,GUAPIARA,SP
APIAÍ,SP,IPORANGA,SP
APIAÍ,SP,ITAÓCA,SP
APIAÍ,SP,NOVA CAMPINA,SP
APIAÍ,SP,RIBEIRA,SP
APIAÍ,SP,RIBEIRÃO BRANCO,SP
ARAÇARIGUAMA,SP,CABREÚVA,SP
ARAÇARIGUAMA,SP,ITAPEVI,SP
ARAÇARIGUAMA,SP,ITU,SP
ARAÇARIGUAMA,SP,PIRAPORA DO BOM JESUS,SP
ARAÇARIGUAMA,SP,SANTANA DE PARNAÍBA,SP
ARAÇARIGUAMA,SP,SÃO ROQUE,SP
ARAÇATUBA,SP,BILAC,SP
ARAÇATUBA,SP,BIRIGUI,SP
ARAÇATUBA,SP,BURITAMA,SP
ARAÇATUBA,SP,GABRIEL MONTEIRO,SP
ARAÇATUBA,SP,GUARARAPES,SP
ARAÇATUBA,SP,LAVÍNIA,SP
ARAÇATUBA,SP,MIRANDÓPOLIS,SP
ARAÇATUBA,SP,PEREIRA BARRETO,SP
ARAÇATUBA,SP,SANTO ANTÔNIO DO ARACANGUÁ,SP
ARAÇATUBA,SP,VALPARAÍSO,SP
ARAÇOIABA DA SERRA,SP,CAPELA DO ALTO,SP
ARAÇOIABA DA SERRA,SP,IPERÓ,SP
ARAÇOIABA DA SERRA,SP,SALTO DE PIRAPORA,SP
ARAÇOIABA DA SERRA,SP,SARAPUÍ,SP
ARAÇOIABA DA SERRA,SP,SOROCABA,SP
ARAMINA,SP,BURITIZAL,SP
ARAMINA,SP,IGARAPAVA,SP
ARAMINA,SP,ITUVERAVA,SP
ARAMINA,SP,MIGUELÓPOLIS,SP
ARAMINA,SP,UBERABA,MG
ARANDU,SP,AVARÉ,SP
ARANDU,SP,CERQUEIRA CÉSAR,SP
ARANDU,SP,ITAÍ,SP
ARAPEÍ,SP,BANANAL,SP
ARAPEÍ,SP,SÃO JOSÉ DO BARREIRO,SP
ARAPEÍ,SP,RESENDE,RJ
ARARAQUARA,SP,BOA ESPERANÇA DO SUL,SP
ARARAQUARA,SP,GAVIÃO PEIXOTO,SP
ARARAQUARA,SP,IBATÉ,SP
ARARAQUARA,SP,MATÃO,SP
ARARAQUARA,SP,MOTUCA,SP
ARARAQUARA,SP,RIBEIRÃO BONITO,SP
ARARAQUARA,SP,RINCÃO,SP
ARARAQUARA,SP,SANTA LÚCIA,SP
ARARAQUARA,SP,SÃO CARLOS,SP
ARARAS,SP,CONCHAL,SP
ARARAS,SP,CORDEIRÓPOLIS,SP
ARARAS,SP,CORUMBATAÍ,SP
ARARAS,SP,ENGENHEIRO COELHO,SP
ARARAS,SP,LEME,SP
ARARAS,SP,LIMEIRA,SP
ARARAS,SP,MOGI GUAÇU,SP
ARARAS,SP,RIO CLARO,SP
ARARAS,SP,SANTA GERTRUDES,SP
ARCO-ÍRIS,SP,HERCULÂNDIA,SP
ARCO-ÍRIS,SP,IACRI,SP
ARCO-ÍRIS,SP,LUIZIÂNIA,SP
ARCO-ÍRIS,SP,QUEIROZ,SP
ARCO-ÍRIS,SP,SANTÓPOLIS DO AGUAPEÍ,SP
ARCO-ÍRIS,SP,TUPÃ,SP
AREALVA,SP,BARIRI,SP
AREALVA,SP,BAURU,SP
AREALVA,SP,IACANGA,SP
AREALVA,SP,ITAJU,SP
AREALVA,SP,PEDERNEIRAS,SP
AREALVA,SP,REGINÓPOLIS,SP
AREIAS,SP,CUNHA,SP
AREIAS,SP,QUELUZ,SP
AREIAS,SP,SÃO JOSÉ DO BARREIRO,SP
AREIAS,SP,SILVEIRAS,SP
AREIAS,SP,RESENDE,RJ
AREIÓPOLIS,SP,IGARAÇU DO TIETÊ,SP
AREIÓPOLIS,SP,LENÇÓIS PAULISTA,SP
AREIÓPOLIS,SP,MACATUBA,SP
AREIÓPOLIS,SP,SÃO MANUEL,SP
ARIRANHA,SP,FERNANDO PRESTES,SP
ARIRANHA,SP,MONTE ALTO,SP
ARIRANHA,SP,PALMARES PAULISTA,SP
ARIRANHA,SP,PINDORAMA,SP
ARIRANHA,SP,PIRANGI,SP
ARIRANHA,SP,SANTA ADÉLIA,SP
ARIRANHA,SP,VISTA ALEGRE DO ALTO,SP
ARTUR NOGUEIRA,SP,COSMÓPOLIS,SP
ARTUR NOGUEIRA,SP,ENGENHEIRO COELHO,SP
ARTUR NOGUEIRA,SP,HOLAMBRA,SP
ARTUR NOGUEIRA,SP,LIMEIRA,SP
ARTUR NOGUEIRA,SP,MOGI MIRIM,SP
ARUJÁ,SP,GUARULHOS,SP
ARUJÁ,SP,ITAQUAQUECETUBA,SP
ARUJÁ,SP,MOGI DAS CRUZES,SP
ARUJÁ,SP,SANTA ISABEL,SP
ASPÁSIA,SP,SANTA ALBERTINA,SP
ASPÁSIA,SP,SANTA RITA D'OESTE,SP
ASPÁSIA,SP,SANTA SALETE,SP
ASPÁSIA,SP,SANTANA DA PONTE PENSA,SP
ASPÁSIA,SP,URÂNIA,SP
ASSIS,SP,CÂNDIDO MOTA,SP
ASSIS,SP,ECHAPORÃ,SP
ASSIS,SP,LUTÉCIA,SP
ASSIS,SP,MARACAÍ,SP
ASSIS,SP,PARAGUAÇU PAULISTA,SP
ASSIS,SP,PLATINA,SP
ASSIS,SP,TARUMÃ,SP
ATIBAIA,SP,BOM JESUS DOS PERDÕES,SP
ATIBAIA,SP,BRAGANÇA PAULISTA,SP
ATIBAIA,SP,CAMPO LIMPO PAULISTA,SP
ATIBAIA,SP,FRANCISCO MORATO,SP
ATIBAIA,SP,FRANCO DA ROCHA,SP
ATIBAIA,SP,JARINU,SP
ATIBAIA,SP,MAIRIPORÃ,SP
ATIBAIA,SP,NAZARÉ PAULISTA,SP
ATIBAIA,SP,PIRACAIA,SP
AURIFLAMA,SP,DIRCE REIS,SP
AURIFLAMA,SP,GENERAL SALGADO,SP
AURIFLAMA,SP,GUZOLÂNDIA,SP
AURIFLAMA,SP,PALMEIRA D'OESTE,SP
AURIFLAMA,SP,PONTALINDA,SP
AURIFLAMA,SP,SANTO ANTÔNIO DO ARACANGUÁ,SP
AVAÍ,SP,BAURU,SP
AVAÍ,SP,DUARTINA,SP
AVAÍ,SP,GÁLIA,SP
AVAÍ,SP,PIRAJUÍ,SP
AVAÍ,SP,PIRATININGA,SP
AVAÍ,SP,PRESIDENTE ALVES,SP
AVAÍ,SP,REGINÓPOLIS,SP
AVANHANDAVA,SP,BARBOSA,SP
AVANHANDAVA,SP,PENÁPOLIS,SP
AVANHANDAVA,SP,PROMISSÃO,SP
AVARÉ,SP,BOREBI,SP
AVARÉ,SP,BOTUCATU,SP
AVARÉ,SP,CERQUEIRA CÉSAR,SP
AVARÉ,SP,IARAS,SP
AVARÉ,SP,ITAÍ,SP
AVARÉ,SP,ITATINGA,SP
AVARÉ,SP,LENÇÓIS PAULISTA,SP
AVARÉ,SP,PARANAPANEMA,SP
AVARÉ,SP,PRATÂNIA,SP
BADY BASSITT,SP,CEDRAL,SP
BADY BASSITT,SP,MIRASSOL,SP
BADY BASSITT,SP,NOVA ALIANÇA,SP
BADY BASSITT,SP,POTIRENDABA,SP
BADY BASSITT,SP,SÃO JOSÉ DO RIO PRETO,SP
BALBINOS,SP,PIRAJUÍ,SP
BALBINOS,SP,URU,SP
BÁLSAMO,SP,MIRASSOL,SP
BÁLSAMO,SP,MIRASSOLÂNDIA,SP
BÁLSAMO,SP,MONTE APRAZÍVEL,SP
BÁLSAMO,SP,NEVES PAULISTA,SP
BÁLSAMO,SP,TANABI,SP
BANANAL,SP,SÃO JOSÉ DO BARREIRO,SP
BANANAL,SP,BARRA MANSA,RJ
BANANAL,SP,RIO CLARO,RJ
BARÃO DE ANTONINA,SP,FARTURA,SP
BARÃO DE ANTONINA,SP,ITAPORANGA,SP
BARÃO DE ANTONINA,SP,CARLÓPOLIS,PR
BARÃO DE ANTONINA,SP,SALTO DO ITARARÉ,PR
BARÃO DE ANTONINA,SP,SANTANA DO ITARARÉ,PR
BARBOSA,SP,JOSÉ BONIFÁCIO,SP
BARBOSA,SP,PENÁPOLIS,SP
BARBOSA,SP,PROMISSÃO,SP
BARBOSA,SP,UBARANA,SP
BARBOSA,SP,ZACARIAS,SP
BARIRI,SP,BOA ESPERANÇA DO SUL,SP
BARIRI,SP,BOCAINA,SP
BARIRI,SP,BORACÉIA,SP
BARIRI,SP,ITAJU,SP
BARIRI,SP,ITAPUÍ,SP
BARIRI,SP,JAÚ,SP
BARIRI,SP,PEDERNEIRAS,SP
BARRA BONITA,SP,IGARAÇU DO TIETÊ,SP
BARRA BONITA,SP,JAÚ,SP
BARRA BONITA,SP,MACATUBA,SP
BARRA BONITA,SP,MINEIROS DO TIETÊ,SP
BARRA BONITA,SP,SÃO MANUEL,SP
BARRA DO CHAPÉU,SP,BOM SUCESSO DE ITARARÉ,SP
BARRA DO CHAPÉU,SP,ITAPIRAPUÃ PAULISTA,SP
BARRA DO CHAPÉU,SP,RIBEIRA,SP
BARRA DO TURVO,SP,CAJATI,SP
BARRA DO TURVO,SP,CANANÉIA,SP
BARRA DO TURVO,SP,ELDORADO,SP
BARRA DO TURVO,SP,IPORANGA,SP
BARRA DO TURVO,SP,JACUPIRANGA,SP
BARRA DO TURVO,SP,ADRIANÓPOLIS,PR
BARRA DO TURVO,SP,BOCAIÚVA DO SUL,PR
BARRA DO TURVO,SP,CAMPINA GRANDE DO SUL,PR
BARRA DO TURVO,SP,GUARAQUEÇABA,PR
BARRETOS,SP,COLINA,SP
BARRETOS,SP,COLÔMBIA,SP
BARRETOS,SP,GUAÍRA,SP
BARRETOS,SP,GUARACI,SP
BARRETOS,SP,JABORANDI,SP
BARRETOS,SP,MORRO AGUDO,SP
BARRETOS,SP,OLÍMPIA,SP
BARRETOS,SP,SEVERÍNIA,SP
BARRINHA,SP,DUMONT,SP
BARRINHA,SP,GUATAPARÁ,SP
BARRINHA,SP,JABOTICABAL,SP
BARRINHA,SP,PRADÓPOLIS,SP
BARRINHA,SP,SERTÃOZINHO,SP
BARUERI,SP,CARAPICUÍBA,SP
BARUERI,SP,ITAPEVI,SP
BARUERI,SP,JANDIRA,SP
BARUERI,SP,OSASCO,SP
BARUERI,SP,SANTANA DE PARNAÍBA,SP
BARUERI,SP,SÃO PAULO,SP
BASTOS,SP,IACRI,SP
BASTOS,SP,PARAPUÃ,SP
BASTOS,SP,RANCHARIA,SP
BASTOS,SP,TUPÃ,SP
BATATAIS,SP,BRODOWSKI,SP
BATATAIS,SP,FRANCA,SP
BATATAIS,SP,JARDINÓPOLIS,SP
BATATAIS,SP,NUPORANGA,SP
BATATAIS,SP,PATROCÍNIO PAULISTA,SP
BATATAIS,SP,RESTINGA,SP
BATATAIS,SP,SALES OLIVEIRA,SP
BATATAIS,SP,SÃO JOSÉ DA BELA VISTA,SP
BAURU,SP,DUARTINA,SP
BAURU,SP,PEDERNEIRAS,SP
BAURU,SP,PIRATININGA,SP
BAURU,SP,REGINÓPOLIS,SP
BEBEDOURO,SP,COLINA,SP
BEBEDOURO,SP,MONTE AZUL PAULISTA,SP
BEBEDOURO,SP,PIRANGI,SP
BEBEDOURO,SP,PITANGUEIRAS,SP
BEBEDOURO,SP,TAIAÇU,SP
BEBEDOURO,SP,TAIÚVA,SP
BEBEDOURO,SP,TAQUARAL,SP
BEBEDOURO,SP,TERRA ROXA,SP
BEBEDOURO,SP,VIRADOURO,SP
BENTO DE ABREU,SP,GUARARAPES,SP
BENTO DE ABREU,SP,LUCÉLIA,SP
BENTO DE ABREU,SP,RUBIÁCEA,SP
BENTO DE ABREU,SP,VALPARAÍSO,SP
BERNARDINO DE CAMPOS,SP,IPAUSSU,SP
BERNARDINO DE CAMPOS,SP,ÓLEO,SP
BERNARDINO DE CAMPOS,SP,PIRAJU,SP
BERNARDINO DE CAMPOS,SP,SANTA CRUZ DO RIO PARDO,SP
BERTIOGA,SP,BIRITIBA-MIRIM,SP
BERTIOGA,SP,GUARUJÁ,SP
BERTIOGA,SP,MOGI DAS CRUZES,SP
BERTIOGA,SP,SALESÓPOLIS,SP
BERTIOGA,SP,SANTOS,SP
BILAC,SP,BIRIGUI,SP
BILAC,SP,CLEMENTINA,SP
BILAC,SP,COROADOS,SP
BILAC,SP,GABRIEL MONTEIRO,SP
BIRIGUI,SP,BREJO ALEGRE,SP
BIRIGUI,SP,BURITAMA,SP
BIRIGUI,SP,COROADOS,SP
BIRITIBA-MIRIM,SP,GUARAREMA,SP
BIRITIBA-MIRIM,SP,MOGI DAS CRUZES,SP
BIRITIBA-MIRIM,SP,SALESÓPOLIS,SP
BOA ESPERANÇA DO SUL,SP,BOCAINA,SP
BOA ESPERANÇA DO SUL,SP,DOURADO,SP
BOA ESPERANÇA DO SUL,SP,GAVIÃO PEIXOTO,SP
BOA ESPERANÇA DO SUL,SP,IBITINGA,SP
BOA ESPERANÇA DO SUL,SP,ITAJU,SP
BOA ESPERANÇA DO SUL,SP,NOVA EUROPA,SP
BOA ESPERANÇA DO SUL,SP,RIBEIRÃO BONITO,SP
BOA ESPERANÇA DO SUL,SP,TRABIJU,SP
BOCAINA,SP,DOURADO,SP
BOCAINA,SP,JAÚ,SP
BOFETE,SP,BOTUCATU,SP
BOFETE,SP,CONCHAS,SP
BOFETE,SP,GUAREÍ,SP
BOFETE,SP,ITATINGA,SP
BOFETE,SP,PARDINHO,SP
BOFETE,SP,PORANGABA,SP
BOFETE,SP,TORRE DE PEDRA,SP
BOITUVA,SP,CERQUILHO,SP
BOITUVA,SP,IPERÓ,SP
BOITUVA,SP,PORTO FELIZ,SP
BOITUVA,SP,TATUÍ,SP
BOITUVA,SP,TIETÊ,SP
BOM JESUS DOS PERDÕES,SP,NAZARÉ PAULISTA,SP
BOM JESUS DOS PERDÕES,SP,PIRACAIA,SP
BOM SUCESSO DE ITARARÉ,SP,ITARARÉ,SP
BOM SUCESSO DE ITARARÉ,SP,NOVA CAMPINA,SP
BOM SUCESSO DE ITARARÉ,SP,SENGÉS,PR
BORÁ,SP,LUTÉCIA,SP
BORÁ,SP,PARAGUAÇU PAULISTA,SP
BORÁ,SP,QUATÁ,SP
BORÁ,SP,QUINTANA,SP
BORACÉIA,SP,ITAPUÍ,SP
BORACÉIA,SP,PEDERNEIRAS,SP
BORBOREMA,SP,IACANGA,SP
BORBOREMA,SP,IBITINGA,SP
BORBOREMA,SP,ITAJOBI,SP
BORBOREMA,SP,ITÁPOLIS,SP
BORBOREMA,SP,NOVO HORIZONTE,SP
BORBOREMA,SP,PIRAJUÍ,SP
BORBOREMA,SP,REGINÓPOLIS,SP
BOREBI,SP,IARAS,SP
BOREBI,SP,LENÇÓIS PAULISTA,SP
BOTUCATU,SP,DOIS CÓRREGOS,SP
BOTUCATU,SP,ITATINGA,SP
BOTUCATU,SP,LENÇÓIS PAULISTA,SP
BOTUCATU,SP,PARDINHO,SP
BOTUCATU,SP,PRATÂNIA,SP
BOTUCATU,SP,SANTA MARIA DA SERRA,SP
BOTUCATU,SP,SÃO MANUEL,SP
BRAGANÇA PAULISTA,SP,ITATIBA,SP
BRAGANÇA PAULISTA,SP,JARINU,SP
BRAGANÇA PAULISTA,SP,MORUNGABA,SP
BRAGANÇA PAULISTA,SP,PEDRA BELA,SP
BRAGANÇA PAULISTA,SP,PINHALZINHO,SP
BRAGANÇA PAULISTA,SP,PIRACAIA,SP
BRAGANÇA PAULISTA,SP,TUIUTI,SP
BRAGANÇA PAULISTA,SP,VARGEM,SP
BRAÚNA,SP,CLEMENTINA,SP
BRAÚNA,SP,COROADOS,SP
BRAÚNA,SP,GLICÉRIO,SP
BRAÚNA,SP,LUIZIÂNIA,SP
BRAÚNA,SP,PENÁPOLIS,SP
BREJO ALEGRE,SP,BURITAMA,SP
BREJO ALEGRE,SP,COROADOS,SP
BREJO ALEGRE,SP,GLICÉRIO,SP
BRODOWSKI,SP,JARDINÓPOLIS,SP
BRODOWSKI,SP,RIBEIRÃO PRETO,SP
BRODOWSKI,SP,SERRANA,SP
BROTAS,SP,DOIS CÓRREGOS,SP
BROTAS,SP,DOURADO,SP
BROTAS,SP,ITIRAPINA,SP
BROTAS,SP,RIBEIRÃO BONITO,SP
BROTAS,SP,SÃO CARLOS,SP
BROTAS,SP,SÃO PEDRO,SP
BROTAS,SP,TORRINHA,SP
BURI,SP,CAMPINA DO MONTE ALEGRE,SP
BURI,SP,CAPÃO BONITO,SP
BURI,SP,ITAPETININGA,SP
BURI,SP,ITAPEVA,SP
BURI,SP,PARANAPANEMA,SP
BURI,SP,TAQUARIVAÍ,SP
BURITAMA,SP,GLICÉRIO,SP
BURITAMA,SP,LOURDES,SP
BURITAMA,SP,PLANALTO,SP
BURITAMA,SP,SANTO ANTÔNIO DO ARACANGUÁ,SP
BURITAMA,SP,TURIÚBA,SP
BURITAMA,SP,ZACARIAS,SP
BURITIZAL,SP,IGARAPAVA,SP
BURITIZAL,SP,ITUVERAVA,SP
BURITIZAL,SP,JERIQUARA,SP
BURITIZAL,SP,PEDREGULHO,SP
CABRÁLIA PAULISTA,SP,DUARTINA,SP
CABRÁLIA PAULISTA,SP,LUCIANÓPOLIS,SP
CABRÁLIA PAULISTA,SP,PAULISTÂNIA,SP
CABRÁLIA PAULISTA,SP,PIRATININGA,SP
CABRÁLIA PAULISTA,SP,SANTA CRUZ DO RIO PARDO,SP
CABREÚVA,SP,INDAIATUBA,SP
CABREÚVA,SP,ITU,SP
CABREÚVA,SP,ITUPEVA,SP
CABREÚVA,SP,JUNDIAÍ,SP
CABREÚVA,SP,PIRAPORA DO BOM JESUS,SP
CAÇAPAVA,SP,JAMBEIRO,SP
CAÇAPAVA,SP,MONTEIRO LOBATO,SP
CAÇAPAVA,SP,REDENÇÃO DA SERRA,SP
CAÇAPAVA,SP,SÃO JOSÉ DOS CAMPOS,SP
CAÇAPAVA,SP,TAUBATÉ,SP
CACHOEIRA PAULISTA,SP,CANAS,SP
CACHOEIRA PAULISTA,SP,CRUZEIRO,SP
CACHOEIRA PAULISTA,SP,LORENA,SP
CACHOEIRA PAULISTA,SP,PIQUETE,SP
CACHOEIRA PAULISTA,SP,SILVEIRAS,SP
CACONDE,SP,DIVINOLÂNDIA,SP
CACONDE,SP,SÃO JOSÉ DO RIO PARDO,SP
CACONDE,SP,TAPIRATIBA,SP
CACONDE,SP,BOTELHOS,MG
CACONDE,SP,CABO VERDE,MG
CACONDE,SP,MUZAMBINHO,MG
CAFELÂNDIA,SP,GUAIMBÊ,SP
CAFELÂNDIA,SP,GUARANTÃ,SP
CAFELÂNDIA,SP,JÚLIO MESQUITA,SP
CAFELÂNDIA,SP,LINS,SP
CAFELÂNDIA,SP,NOVO HORIZONTE,SP
CAFELÂNDIA,SP,PONGAÍ,SP
CAFELÂNDIA,SP,SABINO,SP
CAIABU,SP,INDIANA,SP
CAIABU,SP,MARIÁPOLIS,SP
CAIABU,SP,MARTINÓPOLIS,SP
CAIABU,SP,PRESIDENTE PRUDENTE,SP
CAIEIRAS,SP,CAJAMAR,SP
CAIEIRAS,SP,FRANCO DA ROCHA,SP
